Feature,Beta,P_Value
cg12199972_BC21,16.89253407748398,0.00698275453963914
cg25151559_TC21,10.40027842180128,0.007309077726315727
cg20825023_TC21,15.25455167097119,0.00896457060430146
cg08546707_BC21,8.513214622779357,0.009028302327199117
cg21810793_BC11,38.68449124268932,0.011126879380200027
cg25101291_TC21,24.352034222860574,0.012170809323287525
cg21038584_TC21,41.616526012188395,0.0127907107972015
cg15648958_BC11,45.878766806084485,0.01296673151173682
cg06511482_BC21,-22.855184380275137,0.013252085458842685
cg00657094_BC11,16.590767569547094,0.013588014159575858
cg14923045_BC21,25.073618153910854,0.013632101763253772
cg10119342_TC21,15.582818111222638,0.013877537354509317
cg23596291_BC11,25.7842393728212,0.01412692337839561
cg11920144_BC21,19.93531524496079,0.014309126771887733
cg13360866_TC21,15.758907928230963,0.014429181841289215
cg20594982_TC11,59.9570715604787,0.01454850507833613
cg09914843_BC21,18.265799715299213,0.014760338980966804
cg03890988_TC21,17.262188693015567,0.014873295721213703
cg22699361_BC11,37.976206578733816,0.01585474929008968
cg19383909_TC21,37.84656088131337,0.016083125922193218
cg23651812_TC11,33.09787108776544,0.016796511715410977
cg11754357_BC21,-51.21252611106858,0.01728131781437668
cg26837773_BC11,16.091540145103775,0.01743655537603739
cg00006354_BC21,14.996465462064101,0.018211762603338167
cg18224942_TC21,7.56882984842224,0.018276046367624692
cg07841371_BC11,19.329114973258008,0.018606088385616077
cg07236207_TC21,-79.1585295552265,0.018857246339618557
cg06361835_TC21,-48.06686463354887,0.0191854742119639
cg25237545_BC21,8.212968237343434,0.01921227855849889
cg00017977_BC21,46.77807389357943,0.019547344734168855
cg03467014_BC21,-55.858501887132164,0.01980227008523747
cg16254267_BC11,8.394869530123326,0.020145441866471204
cg04364728_TC21,36.69992028469486,0.020631663349347594
cg00011087_BC21,14.692755452246633,0.020683583091066025
cg00019713_BC21,42.860745753669896,0.021034682290018356
cg11071912_BC21,42.49816917886184,0.021504001215349528
cg15713103_BC11,105.10893695718471,0.022312316129058738
cg08886036_TC11,16.38109391002829,0.022430963220459545
cg02341264_TC21,22.760957406296374,0.022523910817004743
